Número de documentos (noticias) del corpus: 5909
Número de palabras del corpus: 507648
Palabra:acceptor Frec:2 LogProb:-12.095679115105193
Palabra:access Frec:539 LogProb:-6.902722264214983
Palabra:accessibility Frec:0 LogProb:-13.194291403773303
Palabra:accessible Frec:35 LogProb:-9.610772465317194
Palabra:accessibly Frec:0 LogProb:-13.194291403773303
Palabra:accession Frec:3 LogProb:-11.807997042653412
Palabra:accessory Frec:3 LogProb:-11.807997042653412
Palabra:accidence Frec:0 LogProb:-13.194291403773303
Palabra:accident Frec:24 LogProb:-9.975415578905102
Palabra:accidental Frec:1 LogProb:-12.501144223213357
Palabra:accidentality Frec:0 LogProb:-13.194291403773303
Palabra:accidentally Frec:0 LogProb:-13.194291403773303
Palabra:accidently Frec:0 LogProb:-13.194291403773303
Palabra:acclaim Frec:3 LogProb:-11.807997042653412
Palabra:acclamation Frec:10 LogProb:-10.796396130974932
Palabra:acclivity Frec:1 LogProb:-12.501144223213357
Palabra:accolade Frec:3 LogProb:-11.807997042653412
Palabra:accommodate Frec:11 LogProb:-10.709384753985303
Palabra:accommodating Frec:6 LogProb:-11.248381254717989
Palabra:accommodation Frec:7 LogProb:-11.114849862093466
Palabra:accompaniment Frec:2 LogProb:-12.095679115105193
Palabra:accompanist Frec:5 LogProb:-11.402531934545248
Palabra:accompany Frec:3 LogProb:-11.807997042653412
Palabra:accomplice Frec:1 LogProb:-12.501144223213357
Palabra:accomplish Frec:27 LogProb:-9.862086893598098
Palabra:accomplished Frec:10 LogProb:-10.796396130974932
Palabra:accomplishment Frec:2 LogProb:-12.095679115105193
Palabra:accompt Frec:3 LogProb:-11.807997042653412
Palabra:accord Frec:11 LogProb:-10.709384753985303
Palabra:accordance Frec:34 LogProb:-9.63894334228389
Palabra:accordant Frec:3 LogProb:-11.807997042653412
Palabra:according Frec:108 LogProb:-8.502943521544159
Palabra:accordingly Frec:18 LogProb:-10.249852424606862
Palabra:accost Frec:5 LogProb:-11.402531934545248
Palabra:account Frec:1068 LogProb:-6.219812492748257
Palabra:accountability Frec:4 LogProb:-11.584853491339203
Palabra:accountable Frec:0 LogProb:-13.194291403773303
Palabra:accountant Frec:38 LogProb:-9.530729757643657
Palabra:accounting Frec:87 LogProb:-8.716954589295096
Palabra:accredit Frec:3 LogProb:-11.807997042653412
Palabra:accreditate Frec:3 LogProb:-11.807997042653412
Palabra:accreditation Frec:4 LogProb:-11.584853491339203
Palabra:accredited Frec:18 LogProb:-10.249852424606862
Palabra:accretion Frec:0 LogProb:-13.194291403773303
Palabra:accretive Frec:1 LogProb:-12.501144223213357
Palabra:accrual Frec:2 LogProb:-12.095679115105193
Palabra:accrue Frec:4 LogProb:-11.584853491339203
Palabra:acculturate Frec:1 LogProb:-12.501144223213357
Palabra:acculturation Frec:0 LogProb:-13.194291403773303
Palabra:accumulate Frec:7 LogProb:-11.114849862093466
Palabra:accumulation Frec:8 LogProb:-10.997066826437084
Palabra:accumulativ Frec:1 LogProb:-12.501144223213357
Palabra:accumulator Frec:0 LogProb:-13.194291403773303
Palabra:accuracy Frec:131 LogProb:-8.311489481186932
Palabra:accurate Frec:41 LogProb:-9.456621785489935
Palabra:accurately Frec:38 LogProb:-9.530729757643657
Palabra:accursed Frec:1 LogProb:-12.501144223213357
Palabra:accusation Frec:3 LogProb:-11.807997042653412
Palabra:accusative Frec:0 LogProb:-13.194291403773303
Palabra:accusatory Frec:1 LogProb:-12.501144223213357
Palabra:accuse Frec:3 LogProb:-11.807997042653412
Palabra:accused Frec:4 LogProb:-11.584853491339203
Palabra:accustom Frec:4 LogProb:-11.584853491339203
Palabra:accustomed Frec:1 LogProb:-12.501144223213357
Palabra:ace Frec:5 LogProb:-11.402531934545248
Palabra:acerbic Frec:5 LogProb:-11.402531934545248
Palabra:acerbity Frec:2 LogProb:-12.095679115105193
Palabra:acetate Frec:3 LogProb:-11.807997042653412
Palabra:acetic Frec:1 LogProb:-12.501144223213357
Palabra:acetone Frec:3 LogProb:-11.807997042653412
Palabra:acetylcellulose Frec:1 LogProb:-12.501144223213357
Palabra:acetylene Frec:4 LogProb:-11.584853491339203
Palabra:ach Frec:0 LogProb:-13.194291403773303
Palabra:ache Frec:7 LogProb:-11.114849862093466
Palabra:achievable Frec:1 LogProb:-12.501144223213357
Palabra:achieve Frec:117 LogProb:-8.423606779307638
Palabra:achievement Frec:5 LogProb:-11.402531934545248
Palabra:achiever Frec:0 LogProb:-13.194291403773303
Palabra:aching Frec:3 LogProb:-11.807997042653412
Palabra:achromatic Frec:3 LogProb:-11.807997042653412
Palabra:achy Frec:0 LogProb:-13.194291403773303
Palabra:acid Frec:13 LogProb:-10.555234074158044
Palabra:acidic Frec:3 LogProb:-11.807997042653412
Palabra:acidulous Frec:2 LogProb:-12.095679115105193
Palabra:acknowledge Frec:13 LogProb:-10.555234074158044
Palabra:acknowledgeable Frec:2 LogProb:-12.095679115105193
Palabra:acknowledged Frec:5 LogProb:-11.402531934545248
Palabra:acme Frec:3 LogProb:-11.807997042653412
Palabra:acock Frec:0 LogProb:-13.194291403773303
Palabra:acolyte Frec:3 LogProb:-11.807997042653412
Palabra:aconite Frec:2 LogProb:-12.095679115105193
Palabra:acorn Frec:1 LogProb:-12.501144223213357
Palabra:acoustic Frec:3 LogProb:-11.807997042653412
Palabra:acoustical Frec:0 LogProb:-13.194291403773303
Palabra:acoustically Frec:0 LogProb:-13.194291403773303
Palabra:acoustics Frec:0 LogProb:-13.194291403773303
Palabra:acquaint Frec:2 LogProb:-12.095679115105193
Palabra:acquaintance Frec:10 LogProb:-10.796396130974932
Palabra:acquainted Frec:2 LogProb:-12.095679115105193
Palabra:acquiesce Frec:3 LogProb:-11.807997042653412
Palabra:acquiescence Frec:0 LogProb:-13.194291403773303
Palabra:acquiescent Frec:5 LogProb:-11.402531934545248
Palabra:acquire Frec:162 LogProb:-8.100541202966541
