Número de documentos (noticias) del corpus: 9056
Número de palabras del corpus: 824683
Palabra:aegis Frec:1 LogProb:-12.929607168492595
Palabra:aerial Frec:7 LogProb:-11.543312807372704
Palabra:aerobic Frec:1 LogProb:-12.929607168492595
Palabra:aerodynamic Frec:1 LogProb:-12.929607168492595
Palabra:aerodynamical Frec:1 LogProb:-12.929607168492595
Palabra:aerodynamics Frec:1 LogProb:-12.929607168492595
Palabra:aeronautic Frec:2 LogProb:-12.52414206038443
Palabra:aeronautical Frec:4 LogProb:-12.013316436618439
Palabra:aeronautics Frec:1 LogProb:-12.929607168492595
Palabra:aes Frec:18 LogProb:-10.6783153698861
Palabra:aesthetic Frec:6 LogProb:-11.676844199997227
Palabra:aesthetics Frec:11 LogProb:-11.13784769926454
Palabra:afar Frec:5 LogProb:-11.830994879824484
Palabra:affair Frec:8 LogProb:-11.42552977171632
Palabra:affect Frec:84 LogProb:-9.180103092562224
Palabra:affected Frec:66 LogProb:-9.418061729661574
Palabra:affectedness Frec:1 LogProb:-12.929607168492595
Palabra:affecting Frec:20 LogProb:-10.578231911329116
Palabra:affection Frec:3 LogProb:-12.23645998793265
Palabra:affectionately Frec:3 LogProb:-12.23645998793265
Palabra:affective Frec:14 LogProb:-10.91470414795033
Palabra:affidavit Frec:2 LogProb:-12.52414206038443
Palabra:affiliate Frec:65 LogProb:-9.433099607026113
Palabra:affiliation Frec:224 LogProb:-8.20665394684812
Palabra:affinity Frec:1 LogProb:-12.929607168492595
Palabra:affirmation Frec:2 LogProb:-12.52414206038443
Palabra:affirmative Frec:23 LogProb:-10.444700518704595
Palabra:affix Frec:6 LogProb:-11.676844199997227
Palabra:affixation Frec:2 LogProb:-12.52414206038443
Palabra:affluent Frec:5 LogProb:-11.830994879824484
Palabra:afford Frec:29 LogProb:-10.221556967390384
Palabra:affordable Frec:6 LogProb:-11.676844199997227
Palabra:affricate Frec:5 LogProb:-11.830994879824484
Palabra:afield Frec:5 LogProb:-11.830994879824484
Palabra:aflame Frec:1 LogProb:-12.929607168492595
Palabra:afoot Frec:1 LogProb:-12.929607168492595
